country,region,income,gdp,population,msw,e_waste,medical,hazard,plastic,metal,glass
Greece,ECS,High,30465.44921875,10716322,0.5239999787240436,0.017586257673108365,0.023480350814393224,0.020626573184344403,14.0,3.0,3.0
Grenada,LCN,Upper Middle,13207.7119140625,105481,0.2800135942674773,0.007584304282287805,,,16.4,2.4,3.1
Greenland,ECS,High,43948.5625,56905,0.8786574114752658,,,0.012828398207538881,2.4,2.0,7.1
Guatemala,LCN,Upper Middle,8125.36474609375,16252429,0.16962024392476963,0.0033841095383342393,5.036785578328015e-05,0.0006184306358144988,17.290808751009344,,4.391835579814286
Guam,EAS,High,59074.94140625,159973,0.8845242634694604,,,,12.4,9.0,4.6
Guyana,LCN,Upper Middle,9812.08984375,746556,0.24010456014016363,0.006697421224931552,,0.0009936026232459454,14.2,4.2,4.7
"Hong Kong SAR, China",EAS,High,57215.96875,7305700,0.77745,0.009581559604144708,0.00031044253117428855,0.00750263492889114,21.0,2.0,3.0
Honduras,LCN,Lower Middle,5395.61376953125,9112867,0.23725,0.0001865494141415649,,2.777830511517396e-05,14.41,2.11,1.27
Croatia,ECS,High,28829.35546875,4067500,0.445,0.014278549477566073,0.01396779348494161,0.03204081130915796,22.9,2.1,3.7
Haiti,LCN,Low,2952.61865234375,10847334,0.21294195005427138,0.0005531313039683299,,,12.7,2.5,1.6
Hungary,ECS,High,32643.490234375,9769949,0.38699999866938917,0.005124489390886278,0.05007006689594797,0.06106009355831847,13.0,1.8,3.5
Indonesia,EAS,Lower Middle,10531.1982421875,261115456,0.249697972685309,0.004879067748482878,0.00031451604304878837,0.08808364067119795,14.0,1.8,2.5
Isle of Man,ECS,High,44203.62109375,80759,0.625948810658874,,,,,,
India,SAS,Lower Middle,6496.8076171875,1352617344,0.14028357749640094,0.0012568225651851466,0.00013365531707983187,0.005520408290727936,,,
Ireland,ECS,High,83388.71875,4867316,0.5980000065744653,0.04373539749627926,0.15945379342537036,0.09921422812901402,12.4,3.7,8.5
"Iran, Islamic Rep.",MEA,Upper Middle,14535.8623046875,80277424,0.2227899091530391,0.007847785449617815,0.020051091823773518,0.09965441840784528,8.5,2.3,1.9
Iraq,MEA,Upper Middle,10310.6796875,36115648,0.3638312124428724,0.006119231198620609,,0.0005709990306694761,5.29,0.98,2.3
Iceland,ECS,High,55274.1875,343400,0.6560000182003495,0.0221316249271986,,0.0203843913803145,9.0,,
Israel,MEA,High,37687.74609375,8380100,0.6443837185713774,0.014319638190475053,,0.03830503215952077,18.0,3.0,3.0
Italy,ECS,High,42419.72265625,60297396,0.49899998998298367,0.04643693070924655,0.26652932076867797,0.1479922615563697,11.6,4.3,7.6
Jamaica,LCN,Upper Middle,9550.810546875,2881355,0.365,0.005900001908824147,7.169543496028778e-05,0.003470589358131851,12.2,2.38,2.81
Jordan,MEA,Upper Middle,10413.17578125,8413464,0.3007081268785366,0.005110855647566805,0.0004754284323317958,0.14624665892669178,16.0,1.5,2.0
Japan,EAS,High,41309.95703125,126529104,0.3376298309991984,0.004101649214239279,0.0025290624044883776,0.028451952050494247,11.0,4.0,5.0
Kazakhstan,ECS,Upper Middle,22702.580078125,16791424,0.27750713697658996,0.008754468947958196,,,25.0,3.0,5.0
Kenya,SSF,Lower Middle,3329.8544921875,41350152,0.13531024021386912,0.00041958733307679257,0.02198739196895818,,18.7,1.0,3.0
Kyrgyz Republic,ECS,Lower Middle,4805.14111328125,5956900,0.1868925112054928,0.0012086823683459518,,0.8009780254830533,,,
Cambodia,EAS,Lower Middle,3364.27880859375,15270790,0.07131261709446597,0.00091678295621903,9.632114645018365e-06,,8.6,2.0,2.6
Kiribati,EAS,Lower Middle,2249.7685546875,114395,0.31228486821976487,0.0008741640805979283,0.00014178941387298395,,16.5,10.0,5.5
St. Kitts and Nevis,LCN,High,25569.357421875,54288,0.6058823312702623,0.012894193928676688,,,23.2,8.8,8.1
"Korea, Rep.",EAS,High,42105.28125,51606632,0.3963206899454318,0.011057396653980442,,,24.3,2.6,2.5
Kuwait,MEA,High,58810.30078125,2998083,0.5837063216728823,0.022347613458333207,0.011007033494402924,0.06770993331405435,20.0,2.0,4.0
Lao PDR,EAS,Lower Middle,6543.6669921875,6663967,0.0528063839451786,0.0011254557533073018,0.00018007292052916828,0.0007803159889597293,6.1,3.7,9.3
Lebanon,MEA,Upper Middle,16966.740234375,5603279,0.36407253681281976,0.009101813420320494,0.0009937038651832257,0.008209478771269466,11.5,5.5,3.5
Liberia,SSF,Low,1333.4222412109375,3512932,0.16068250111303037,,,,,,
Libya,MEA,Upper Middle,8479.9462890625,6193501,0.34675,0.011302169806705448,,,7.5,4.3,3.1
St. Lucia,LCN,Upper Middle,14029.982421875,177206,0.438,0.009029039648770358,0.00028006952360529555,0.015417085200275385,22.0,5.0,7.0
Liechtenstein,ECS,High,45726.98828125,36545,0.8860856478314407,0.008017512655630046,0.0034751676015870843,0.03294568340402244,5.4,12.5,5.0
Sri Lanka,SAS,Lower Middle,12287.47265625,21203000,0.12411687025420931,3.4193274536622175e-06,0.0004647927180116021,,7.0,3.0,2.0
Lesotho,SSF,Lower Middle,1978.6083984375,1965662,0.03737010737349555,0.0009157220315598511,,,,,
Lithuania,ECS,High,37278.3046875,2786844,0.4720000025118019,0.029671915614939336,0.025162513581671597,0.05937791996968614,10.15,2.75,8.65
Luxembourg,ECS,High,114323.40625,619896,0.7910000225844335,0.011934259940377095,0.07715003807090222,0.3826125672693484,18.0,2.0,4.0
Latvia,ECS,High,30982.173828125,1912789,0.4390000020911873,0.01310703898861819,0.03430801829161502,0.0544451060728601,7.7,2.6,21.4
"Macao SAR, China",EAS,High,117335.5859375,612167,0.6173838184678364,0.017968952916442734,0.018774288715334216,0.005093381381224405,7.9,1.7,3.3
St. Martin (French part),LCN,High,30385.89453125,30959,0.5,,,,,,
Morocco,MEA,Lower Middle,6915.10302734375,34318080,0.19966151952556788,0.0008829165267987021,0.0006119223453060312,0.008432435614113611,8.0,2.5,2.0
Monaco,ECS,High,43711.80078125,37783,1.217478760289019,,,0.008259534711378132,1.0,2.2,3.0
